Original File Name,Renamed File Name,Associated MIA Object,Object Credit / Description,Photo Credit,Image Source,Contact Info,Permissions,Image Received & QC'd,Image Pass QC,Image Ready for Release,Additional Notes,,,
Conquest_of_the_defence_tower_at_the_Luobowa_mountain,2014_TDX_MIAArtStories_099.tif,92.103.13," ""Conquest of the defence tower at the Luobowa mountain"", a scene of the Jinchuan Campaign 1771-1776","By A collaboration between Chinese and European painters. The Jesuit missionaries involved in producing the drawings in China were Giuseppe Castiglione, Jean-Denis Attiret, Ignace Sichelbart and Jean Damascene. The engravings were executed in Paris under the direction of Charles-Nicolas Cochin of the Académie Royal at the Court of Louis XVI and the individual engravers include Le Bas, Aliamet, Prevot, Saint-Aubin, Masquelier, Choffard, and Launay. (http://www.battle-of-qurman.com.cn/e/hist.htm) [Public domain], via Wikimedia Commons",http://commons.wikimedia.org/wiki/File:Conquest_of_the_defence_tower_at_the_Luobowa_mountain.jpg,,,Yes,Yes,Yes,Qianglong Page 4,,,
LantingXu.jpg,2014_TDX_MIAArtStories_101.tif,92.103.13,"A copy of Wang Xizhi’s Lanting jixu by Feng Chengsu (617-672), collection of the Palace Museum, Beijing [Public domain], via Wikimedia Commons","Feng Chengsu (馮承素) [Public domain], via Wikimedia Commons",http://commons.wikimedia.org/wiki/File:LantingXu.jpg,,,Yes,Yes,Yes,Jade Mountain (inscription),,,
Li_Gonglin-Mountain_Villa,2014_TDX_MIAArtStories_102.tif,92.103.13,"Li Gonglin, Mountain Villa","""Li Gonglin-Mountain Villa"" by Li Gonglin - http://tech2.npm.gov.tw/sung/html/graphic/c_t2_1_b17.htm. Licensed under Public domain via Wikimedia Commons - http://commons.wikimedia.org/wiki/File:Li_Gonglin-Mountain_Villa.jpg#mediaviewer/File:Li_Gonglin-Mountain_Villa.jpg",http://en.wikipedia.org/wiki/Li_Gonglin#mediaviewer/File:Li_Gonglin-Mountain_Villa.jpg,,,Yes,Yes,Yes,Dish- Li Gonglin Mountain Villa    This image is for 'annotations' and will need the ability to either be zoomed in or to be cropped to a detail shot. Talk to Kjell about this pls. Thanks! RR 1/12/15,,,
Qianlong_Emperor,2014_TDX_MIAArtStories_104.tif,92.103.13,"Part of the painting Qianlong Emperor and His Consorts, Qing Dynasty, Giuseppe Castiglione [Public domain], via Wikimedia Commons","Giuseppe Castiglione [Public domain], via Wikimedia Commons",http://commons.wikimedia.org/wiki/File:Qianlong_Emperor.jpg,,,Yes,Yes,Yes,"Jade Mountain (Qianlong Emperor), http://commons.wikimedia.org/wiki/File:Qianlong_Emperor.jpg",,,
Qianlong11,2014_TDX_MIAArtStories_105.tif,92.103.13,"Giuseppe Castiglione [Public domain], via Wikimedia Commons",,http://commons.wikimedia.org/wiki/File:Qianlong11.jpg  ,,,Yes,Yes,Yes,Qianlong story: Qianlong in his studies],,,
Reconquer_the_little_Goldstreamland,2014_TDX_MIAArtStories_107.tif,92.103.13,"By A collaboration between Chinese and European painters. The Jesuit missionaries involved in producing the drawings in China were Giuseppe Castiglione, Jean-Denis Attiret, Ignace Sichelbart and Jean Damascene. The engravings were executed in Paris under the direction of Charles-Nicolas Cochin of the Académie Royal at the Court of Louis XVI and the individual engravers include Le Bas, Aliamet, Prevot, Saint-Aubin, Masquelier, Choffard, and Launay. (http://www.battle-of-qurman.com.cn/e/hist.htm) [Public domain], via Wikimedia Commons",,http://commons.wikimedia.org/wiki/File:Reconquer_the_little_Goldstreamland.jpg ,,,Yes,Yes,Yes,Qianglong Page 4,,,
Shi_Jing,2014_TDX_MIAArtStories_109.tif,92.103.13,"The first song of the Classic of Poetry, handwritten by the Qianlong Emperor, with accompanying painting {{PD-old-70}}",,http://commons.wikimedia.org/wiki/File:Shi_Jing.jpg,,,Yes,Yes,Yes,"Qianlong Story: [Caption: The first song of the Classic of Poetry, handwritten by the Qianlong Emperor, with accompanying painting.]",,,
The_Qianlong_Emperor_Viewing_Paintings,2014_TDX_MIAArtStories_111.tif,92.103.13,"By Lang Shining and Ding Guanpeng [Public domain], via Wikimedia Commons",,http://commons.wikimedia.org/wiki/File:The_Qianlong_Emperor_Viewing_Paintings.jpg ,,,Yes,Yes,Yes,Qianlong Story: [Caption: Emperor Qianlong viewing paintings.  By Giuseppe Castiglione.] ,,,
mia_1004284.tif,N/A,92.103.13,"Jade Mountain Illustrating the Gathering of Scholars at the Lanting Pavillion Unknown 18th century, Qianlong reign 1736-95, 1784 Light green jade 22 1/2 × 38 3/8 in., 640 lb. (57.15 × 97.47 × 290.3 cm) Origin: China, Asia The John R. Van Derlip Fund and Gift of the Thomas Barlow Walker Foundation",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,"Jade Mountain

Use new photography? - Jlynn",,,
mia_1004300.tif,N/A,92.103.13,"(detail) Jade Mountain Illustrating the Gathering of Scholars at the Lanting Pavillion Unknown 18th century, Qianlong reign 1736-95, 1784 Light green jade 22 1/2 × 38 3/8 in., 640 lb. (57.15 × 97.47 × 290.3 cm) Origin: China, Asia The John R. Van Derlip Fund and Gift of the Thomas Barlow Walker Foundation",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,"Jade Mountain (3D landscape)

Use new photography? - Jlynn",,,
mia_6018002.tif,N/A,92.103.13,"(detail) Jade Mountain Illustrating the Gathering of Scholars at the Lanting Pavillion Unknown 18th century, Qianlong reign 1736-95, 1784 Light green jade 22 1/2 × 38 3/8 in., 640 lb. (57.15 × 97.47 × 290.3 cm) Origin: China, Asia The John R. Van Derlip Fund and Gift of the Thomas Barlow Walker Foundation",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Jade Mountain (the scene of gathering),,,
mia_6018006.tif,N/A,92.103.13,"(detail) Jade Mountain Illustrating the Gathering of Scholars at the Lanting Pavillion Unknown 18th century, Qianlong reign 1736-95, 1784 Light green jade 22 1/2 × 38 3/8 in., 640 lb. (57.15 × 97.47 × 290.3 cm) Origin: China, Asia The John R. Van Derlip Fund and Gift of the Thomas Barlow Walker Foundation",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Jade Mountain (inscription),,,
met gulshan,2014_TDX_MIAArtStories_182.tif,92.103.13,"""Fairies Descend to the Chamber of Prince Manohar"", Folio from a Gulshan-i 'Ishq (Rose Garden of Love)  ca. 1700, India, Deccan, Ink, opaque watercolor, gold, and silver on paper, H. 8 3/4 in. (22.3 cm); W. 5 5/8 in. (14.4 cm), The Metropolitain Museum of Art, Purchase, Friends of Islamic Art Gifts, 2011, 2011.183",The Metropolitain Museum of Art,http://www.metmuseum.org/collection/the-collection-online/search/457728,,,Yes,Yes,Yes,Raja Bikram ,,,
,NEED IMAGE,92.103.13,"The Gathering at Orchid Pavilion You Qiu 16th century, 1581 Ink on silk 151-7/8 x 10-7/8 in. (385.8 x 27.6 cm) Origin: China, Asia Gift of Ruth and Bruce Dayton, 2002.4.2",© 2014 Minneapolis Institute of Arts,,,,No,No,No,"Jade Mountain (3D landscape)

New photography in MediaBin. Needs stitching in Photoshop? - Jlynn                      Yes, this will need to be stitched.",,,
mia_29516a.tif,N/A,92.132.1,"Gowri Shankaram Necklace
early 19th century
Artist Unknown
India, Asia
Rudraksha berries, gold, rubies, and garnets
L.17-1/2 x W.(at widest point in pendant) 4-3/8 x D.1-5/8 in.",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Gowri Shankaram Necklace,,,
1945-65-22pg103.tif,2014_TDX_MIAArtStories_062.tif,95.4.2,"Gulshan-i 'Ishq (Rose Garden of Love) Artist/maker unknown, India India, 1743 Opaque watercolor, gold, and ink on paper; leather binding with embossed gilding, 14 × 10 × 2 3/8 inches (35.6 × 25.4 × 6 cm) Philadelphia Museum of Art: The Philip S. Collins Collection, gift of Mrs. Philip S. Collins in memory of her husband, 1945",The Philadelphia Museum of Art,http://www.philamuseum.org/collections/permanent/49733.html?mulR=1679053145|1,Giema.Tsakuginow@philamuseum.org,,Yes,Yes,Yes,"Raja Bikram (Roma emailed request 9/5/2014, follow up email 10/1/2014)",,,
PCD19990514_0035_IMG0030.tif,PCD19990514_0035_IMG0030.tif,95.4.2,"Raja Bikram Collecting the Clothes of the Bathing Fairies Folio from a Gulshan-i 'Ishq (Rose Garden of Love) Manuscript Nusrati of Bijapur early 18th century, ca. 1710 Opaque watercolors and gold on paper 15 1/4 x 8 7/8 in. (38.74 x 22.54 cm) (sheet) Origin: Probably Hyderabad, Andhra Pradesh, India, Asia The Katherine Kittredge McMillan Memorial Fund",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Raja Bikram ,,,
New photography- Verso,mia_5042228.tif,95.4.2,"(detail) Raja Bikram Collecting the Clothes of the Bathing Fairies Folio from a Gulshan-i 'Ishq (Rose Garden of Love) Manuscript Nusrati of Bijapur early 18th century, ca. 1710 Opaque watercolors and gold on paper 15 1/4 x 8 7/8 in. (38.74 x 22.54 cm) (sheet) Origin: Probably Hyderabad, Andhra Pradesh, India, Asia The Katherine Kittredge McMillan Memorial Fund, 95.4.2",© 2014 Minneapolis Institute of Arts,,,,No,No,No,"Raja Bikram               Josh, I believe you guys already photographed this and I already have the Verso available to me in WP. So I believe these should all be yes's RR 1/9/2015",,,
100625_mia341_155940.jpg,N/A,98.62a-h,"Detail. Figure The Bodhisattva Guanyin Unknown 11th-12th century, late 11th-early 12th century Wood, gesso, and mineral pigments, and gold, Origin: China, Asia Gift of Ruth and Bruce Dayton, 98.62a-h
",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Guanyin (Painted gold),,,
100625_mia341_160043.jpg,N/A,98.62a-h,"Detail. Figure The Bodhisattva Guanyin Unknown 11th-12th century, late 11th-early 12th century Wood, gesso, and mineral pigments, and gold, Origin: China, Asia Gift of Ruth and Bruce Dayton, 98.62a-h
",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Guanyin (Painted gold),,,
100625_mia341_160355.jpg,N/A,98.62a-h,"Detail. Figure The Bodhisattva Guanyin Unknown 11th-12th century, late 11th-early 12th century Wood, gesso, and mineral pigments, and gold, Origin: China, Asia Gift of Ruth and Bruce Dayton, 98.62a-h
",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Guanyin (A gesture of discourse),,,
100625_mia341_160444.jpg,N/A,98.62a-h,"Detail. Figure The Bodhisattva Guanyin Unknown 11th-12th century, late 11th-early 12th century Wood, gesso, and mineral pigments, and gold, Origin: China, Asia Gift of Ruth and Bruce Dayton, 98.62a-h
",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Guanyin (Construction ),,,
100625_mia341_160523.jpg,N/A,98.62a-h,"Detail. Figure The Bodhisattva Guanyin Unknown 11th-12th century, late 11th-early 12th century Wood, gesso, and mineral pigments, and gold, Origin: China, Asia Gift of Ruth and Bruce Dayton, 98.62a-h
",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Guanyin (Construction ),,,
100625_mia341_160614.jpg,N/A,98.62a-h,"Detail. Figure The Bodhisattva Guanyin Unknown 11th-12th century, late 11th-early 12th century Wood, gesso, and mineral pigments, and gold, Origin: China, Asia Gift of Ruth and Bruce Dayton, 98.62a-h
",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Guanyin (A missing crown),,,
100625_mia341_160801.jpg,N/A,98.62a-h,"Detail. Figure The Bodhisattva Guanyin Unknown 11th-12th century, late 11th-early 12th century Wood, gesso, and mineral pigments, and gold, Origin: China, Asia Gift of Ruth and Bruce Dayton, 98.62a-h
",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Guanyin (Adornment),,,
100629_mia341_155807.jpg,N/A,98.62a-h,"Two versions of Bodhisattva Guanyin Ding Guanpeng Qing dynasty (1616-1911), c. 1750 Ink and colors on silk 60 1/2 x 31 15/16 in. (153.67 x 81.12 cm) (image) Origin: China, Asia Gift of Joan Wurtele, 99.171",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Guanying (Answering Cries for Help),,,
100629_mia341_155856.jpg,,,"(detail) Two versions of Bodhisattva Guanyin Ding Guanpeng Qing dynasty (1616-1911), c. 1750 Ink and colors on silk 60 1/2 x 31 15/16 in. (153.67 x 81.12 cm) (image) Origin: China, Asia Gift of Joan Wurtele, 99.171",,,,,No,No,No,"Josh---- WordPress has one detail image of 99.171, however the remaining detail images or the full image wasn't included. Sorry maybe my mistake for not listing all of the individual file names associated with this object.",,,
20011130_mia341_1322.tif,,,"(detail) Two versions of Bodhisattva Guanyin Ding Guanpeng Qing dynasty (1616-1911), c. 1750 Ink and colors on silk 60 1/2 x 31 15/16 in. (153.67 x 81.12 cm) (image) Origin: China, Asia Gift of Joan Wurtele, 99.171",,,,,No,No,No,,,,
20001127_mia341_0667.tif,N/A,98.62a-h,"Standing Buddha 6th century, late 6th century Limestone 45 x 12 3/4 x 9 1/4 in. (114.3 x 32.4 x 23.5 cm) (without mount) Origin: China, Asia Gift of Ruth and Bruce Dayton, 2000.207",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Guanyin (Adornment),,,
20001127_mia341_0667.tif,N/A,98.62a-h,"The Bodhisattva Kuan-yin and Flying Apsaras 12th century Colors on plaster 68 x 48 in. (172.72 x 121.92 cm) Origin: Shansi border (?), Honan Province, China, Asia Gift of C.T. Loo, Inc., 50.41.1",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Guanying (Answering Cries for Help),,,
20020212_mia341_1560.tif,N/A,98.62a-h,"Guanyin on Mt. Potalaka with Sudhana 16th century Ink and colors on silk 50 x 23 in. (127 x 58.42 cm) (image, approximate) Origin: China, Asia Gift of Ruth and Bruce Dayton, 98.81.5",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Guanying (Answering Cries for Help),,,
"Quartz,_Tibet",2014_TDX_MIAArtStories_106.tif,98.62a-h,Quartz,"""Quartz, Tibet"" by JJ Harrison (jjharrison89@facebook.com) - Own work. Licensed under Creative Commons Attribution-Share Alike 2.5 via Wikimedia Commons - http://commons.wikimedia.org/wiki/File:Quartz,_Tibet.jpg#mediaviewer/File:Quartz,_Tibet.jpg","http://en.wikipedia.org/wiki/Quartz#mediaviewer/File:Quartz,_Tibet.jpg",,,Yes,Yes,Yes,Guanyin (Crystal eyes),,,
mia_38270a.tif,N/A,98.62a-h,"Flying Apsaras 12th century Fresco 16 3/4 x 23 in. (42.5 x 58.4 cm) Origin: Shansi border (?), Honan Province, China, Asia Gift of C.T. Loo, Inc., 50.41.3",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Guanying (Answering Cries for Help),,,
mia_38272a.tif,N/A,98.62a-h,"Flying Apsaras 12th century Fresco 23 3/4 x 24 3/4 in. (60.3 x 62.9 cm) Origin: Shansi border (?), Honan Province, China, Asia Gift of C.T. Loo, Inc., 50.41.2",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Guanying (Answering Cries for Help),,,
PCD20010510_3920_IMG0036.tif,N/A,98.62a-h,"Figure The Bodhisattva Guanyin Unknown 11th-12th century, late 11th-early 12th century Wood, gesso, and mineral pigments, and gold, Origin: China, Asia Gift of Ruth and Bruce Dayton, 98.62a-h",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Guanyin,,,
PCD19981214_3659_IMG0020.tif,N/A,98.62a-h,"Brush Rest 18th century Natural crystal, wood 3 1/16 x 5 7/16 x 2 1/8 in. (7.78 x 13.81 x 5.4 cm) Origin: China, Asia Gift of Ruth and Bruce Dayton, 98.171.2a,b",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Guanyin- crystal,,,
mia_38268a.tif,N/A,98.62a-h,"The Bodhisattva Guanyin and Flying Apsaras 12th century Colors on plaster 68 x 48 in. (172.72 x 121.92 cm) Origin: Shansi border (?), Honan Province, China, Asia Gift of C.T. Loo, Inc., 50.41.1",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Guanyin story 1,,,
mia_38272a.tif,N/A,98.62a-h,"Flying Apsaras 12th century Fresco 23 3/4 x 24 3/4 in. (60.3 x 62.9 cm) Origin: Shanxi border (?), Henan Province, China, Asia Gift of C.T. Loo, Inc., 50.41.2",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Guanyin story 1,,,
mia_38270a.tif,N/A,98.62a-h,"Flying Apsaras 12th century Fresco 16 3/4 x 23 in. (42.5 x 58.4 cm) Origin: Shanxi border (?), Henan Province, China, Asia Gift of C.T. Loo, Inc., 50.41.3",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Guanyin story 1,,,
"NEED IMAGE-- This is not an image, this is a video. RR 1/9/2015 which was sent your way already",,,"Dance
","Piece: Shankara Sri Giri, a composition by Sri Swathi Tirunal Choreography by Alarmél Valli, Chennai India Dancer: Ashwini Ramaswamy, Ragamala Dance Company Date: October 5, 2014, Northrop Auditorium, Minneapolis. Video by Caitlin Hammel",Ragamala,Ashwini Ramaswamy <ashwini781@gmail.com>,,No,No,No,Shiva Nataraja- dance,,,

